ComplaintID,Date,Time,Province,District,CustomerType,CustomerPlan,ComplaintChannel,ComplaintText,Language,Category,SubCategory,Priority,Severity,Department,Status,AssignedEngineer,Resolution,ResolutionHours,Escalated,DuplicateTicket,Sentiment,CustomerRating,NetworkTechnology,DeviceType,RouterBrand,EstimatedCost,AISummary
NTC-202607-000543,2026-07-09,09:00:41,Sudurpashchim,Achham,Government,GovNet Dedicated 50Mbps,SMS Alert,"Heloo support team, Valorant ma lag bho dherai, ping zero unstable bhaerakhya chha.",Nepali-English,High Ping,International Gateway Jitter,Critical,Medium,Internet Support,Resolved,Eng. Deepa Sharma,Recharge transaction re-processed manually via payment clearing system; customer account credited.,2.71,True,False,Frustrated,4,Fiber,Wi-Fi Router,Nokia,6438.36,High latency/ping spikes affecting real-time network traffic.
NTC-202602-004352,2026-02-13,07:04:28,Madhesh,Parsa,Corporate,Dedicated Enterprise Fiber 1Gbps,Mobile App,IPTV SETUP BOX FREEZING ON BOOT LOGO SCREEN. REMOTE NOT RESPONDING.,English,IPTV,Audio Out of Sync,Critical,Medium,Internet Support,Escalated,Eng. Subash Giri,Pending investigation by assigned field team.,0.0,True,False,Frustrated,,FTTH,Smartphone,Nokia,6036.51,"IPTV stream pixelation, freezing, or STB authentication failure."
NTC-202603-012808,2026-03-05,04:02:49,Madhesh,Saptari,Residential,Fiber 50Mbps,SMS Alert,Set-Top Box HDMI output showing 'No Signal' on television. Urgent response needed!,English,IPTV,Audio Out of Sync,Medium,Medium,Internet Support,Resolved,Eng. Subash Giri,Field team dispatched to site in Saptari. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,13.98,False,False,Frustrated,2,FTTH,MiFi Dongle,D-Link,52.52,"IPTV stream pixelation, freezing, or STB authentication failure."
NTC-202604-006632,2026-04-10,07:55:05,Bagmati,NuwaKot,Business,Biz 4G Pro,Web Portal,MOBILE BANKING KO OTP CODE AAUDAI AAYENA TEXT MESSAGE MA. SOLVED THIS FAST.,Nepali-English,SMS Failure,SMSC Center Error,Low,Low,Mobile Team,Resolved,Eng. Bikash Thapa,KYC documents manually verified in billing engine system and SIM profile activated.,69.27,False,False,Neutral,4,5G,MiFi Dongle,N/A,280.06,Customer unable to send or receive SMS / OTP notifications.
NTC-202603-006706,2026-03-26,01:16:51,Gandaki,Lamjung,Residential,ADSL Standard,Web Portal,Complain: RADIUS server error le गर्दा session establish bhayena. Thanks.,Nepali-English,Authentication,PPPoE Auth Invalid Password,High,High,Network Operations,Resolved,Eng. Sita Adhikari,Recharge transaction re-processed manually via payment clearing system; customer account credited.,13.28,False,False,Frustrated,1,FTTH,ONT Optical Router,D-Link,1876.03,PPPoE or RADIUS AAA authentication rejection.
NTC-202606-006979,2026-06-05,00:53:39,Karnali,Dailekh,Residential,4G Unlimited Pack,Mobile App,"FYI, NEW SIM CARD PURCHASED YESTERDAY STILL SHOWING 'NO SERVICE' ON MOBILE NETWORK.",English,SIM Activation,New SIM No Service,Medium,Medium,Mobile Team,Escalated,Eng. Ramesh Shrestha,Pending investigation by assigned field team.,0.0,True,False,Angry,,5G,Smartphone,N/A,265.92,SIM card provisioning or KYC activation issue.
NTC-202607-007400,2026-07-14,00:22:23,Karnali,Rukum West,Corporate,SLA Premium Fiber,Mobile App,Username password correct hunda pani log-in huna sakina optical connection ma. Solved this fast.,Nepali-English,Authentication,RADIUS Server Timeout,Critical,High,Network Operations,Resolved,Eng. Deepa Sharma,Replaced faulty power supply adapter unit for ONT device. Verified line online status.,4.76,False,False,Frustrated,4,ADSL,Fiber Media Converter,D-Link,5245.06,PPPoE or RADIUS AAA authentication rejection.
NTC-202607-011120,2026-07-05,13:36:28,Sudurpashchim,Dadeldhura,Corporate,Dedicated Enterprise Fiber 1Gbps,Mobile App,Not receiving any bank OTP transaction SMS codes on my mobile number.,English,SMS Failure,Outbound SMS Failed,Low,Low,Mobile Team,Resolved,Eng. Sita Adhikari,KYC documents manually verified in billing engine system and SIM profile activated.,42.28,False,False,Neutral,4,4G,MiFi Dongle,N/A,207.82,Customer unable to send or receive SMS / OTP notifications.
NTC-202602-012666,2026-02-27,12:58:13,Madhesh,Bara,Business,BizFiber 300Mbps,Mobile App,SIM card suddenly showing 'SIM Rejected' / 'MM#2 blocked' status.,English,SIM Blocked,Inactivity Suspension,Medium,High,Mobile Team,Escalated,Eng. Sunita Tamang,Pending investigation by assigned field team.,0.0,True,False,Frustrated,,5G,ONT Optical Router,N/A,262.43,SIM line locked or blocked due to security/inactivity.
NTC-202604-005305,2026-04-13,11:42:59,Koshi,Dhankuta,Corporate,Dedicated Enterprise Fiber 1Gbps,Social Media,"HELOO SUPPORT TEAM, PHONE MA WIFI DISCONNECT BHAI RAAKHCHHA ROOM CHANGE GARDA. PLEASE FIX ASAP.",Nepali-English,Weak WiFi,Frequency Interference,Low,Low,Internet Support,Resolved,Eng. Ramesh Shrestha,Adjusted WiFi radio channel frequencies and updated router firmware to resolve stability issue.,15.6,False,False,Neutral,5,FTTH,4G CPE Router,Tenda,71.73,Wi-Fi signal propagation issues inside customer premises.
NTC-202604-002313,2026-04-23,02:25:42,Sudurpashchim,Kailali,Corporate,SLA Premium Fiber,Web Portal,ROUTER LOG MA PPPOE AUTHENTICATION FAILED BHANCHHA. WAITING FOR REPLY.,Nepali-English,Authentication,MAC Binding Mismatch,Critical,High,Network Operations,Resolved,Eng. Bikash Thapa,Field team dispatched to site in Kailali. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,5.01,True,False,Frustrated,5,ADSL,MiFi Dongle,Unknown/Generic,3655.16,PPPoE or RADIUS AAA authentication rejection.
NTC-202607-007041,2026-07-16,04:05:10,Bagmati,Kavrepalanchok,Business,BizFiber 300Mbps,Web Portal,Package expire nabhai kan nai service status suspend bhayechha billing ma.,Nepali-English,Billing,Rental Overcharge,Low,Low,Billing,Resolved,Eng. Ramesh Shrestha,Field team dispatched to site in Kavrepalanchok. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,12.01,False,False,Neutral,4,FTTH,Smartphone,Netgear,279.66,Billing discrepancy or customer account tariff dispute.
NTC-202606-001890,2026-06-20,21:37:22,Madhesh,Dhanusha,Government,GovNet Dedicated 50Mbps,Web Portal,VOLTE CALL LAGDA AAWAJA NAI AAUDAINA. DIRECT CALL CUT HUNCHHA. SOLVED THIS FAST.,Nepali-English,Voice Call,Call Muting,Critical,Medium,Mobile Team,Resolved,Eng. Subash Giri,KYC documents manually verified in billing engine system and SIM profile activated.,3.3,False,True,Frustrated,5,4G,ONT Optical Router,N/A,7078.67,Voice call quality degradation or call establishment failure.
NTC-202604-008992,2026-04-10,10:51:50,Karnali,Rukum West,Corporate,Dedicated Internet 100Mbps,Call Center (198),"FYI, Internet line arko manche ko naam ma transfer garna k k document chahinchha? Urgent response needed!",Nepali-English,Others,General Information Request,Low,Low,Customer Care,Pending,Eng. Unassigned,Pending investigation by assigned field team.,0.0,False,False,Neutral,,FTTH,4G CPE Router,Nokia,253.13,General inquiry or non-technical support ticket.
NTC-202604-000170,2026-04-25,02:36:08,Madhesh,Parsa,Business,Biz 4G Pro,Social Media,"NTC Support, Router log ma PPPoE authentication failed bhanchha. Solved this fast.",Nepali-English,Authentication,MAC Binding Mismatch,High,High,Network Operations,Resolved,Eng. Ramesh Shrestha,Adjusted WiFi radio channel frequencies and updated router firmware to resolve stability issue.,7.01,False,False,Angry,4,ADSL,MiFi Dongle,Unknown/Generic,1486.36,PPPoE or RADIUS AAA authentication rejection.
NTC-202607-001796,2026-07-08,16:49:31,Bagmati,Dhading,Residential,ADSL Standard,Call Center (198),optic fiber cable snapped outside my building due to construction work. total connection blackout.,English,Fiber Cut,Main Trunk Cable Severed,Critical,Critical,Fiber Team,Escalated,Eng. Subash Giri,Pending investigation by assigned field team.,0.0,True,False,Angry,,Enterprise Ethernet,Smartphone,N/A,7022.92,Physical fiber optic cable break identified; field repair dispatched.
NTC-202603-003976,2026-03-25,08:01:10,Sudurpashchim,Achham,Government,GovNet Dedicated 50Mbps,Mobile App,"Call garda aawaj katindai aauchha, complete noise aauchha voice ma.",Nepali-English,Voice Call,Call Muting,Critical,Medium,Mobile Team,Resolved,Eng. Anish Karki,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,1.81,True,False,Angry,4,5G,4G CPE Router,N/A,6814.05,Voice call quality degradation or call establishment failure.
NTC-202605-006821,2026-05-02,08:42:37,Koshi,Dhankuta,Residential,4G Unlimited Pack,Counter Visit,Aaja bihanai dekhi internet chaleyrai chhaina. Please resolve fast.,Nepali-English,Internet Down,WAN IP Disconnected,High,High,Internet Support,Resolved,Eng. Anish Karki,KYC documents manually verified in billing engine system and SIM profile activated.,5.89,False,False,Angry,4,4G,4G CPE Router,N/A,2426.62,Total internet connectivity blackout reported by customer.
NTC-202606-007827,2026-06-26,06:29:10,Lumbini,Dang,Government,Secured Intranet SLA,Web Portal,my ont router has a continuous blinking red light on los. internet not working since morning.,English,LOS Red,Blinking Red LOS Light,Critical,High,Fiber Team,Resolved,Eng. Ramesh Shrestha,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,2.12,True,False,Angry,5,Fiber,Wi-Fi Router,ZTE,6717.08,Loss of Signal (LOS) detected on ONT device.
NTC-202604-011810,2026-04-25,18:39:23,Madhesh,Parsa,Government,GovNet Enterprise Fiber 100Mbps,SMS Alert,"Complain: Ping unstable cha, packet loss sangai high latency le गर्दा office meeting disconnect bhayo.",Nepali-English,High Ping,Packet Routing Delay,Critical,Medium,Internet Support,Closed,Eng. Nabin Chaudhary,Field team dispatched to site in Parsa. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,4.0,True,False,Frustrated,3,4G,Fiber Media Converter,N/A,6504.0,High latency/ping spikes affecting real-time network traffic.
NTC-202606-001040,2026-06-26,01:41:50,Gandaki,Tanahu,Business,BizFiber 300Mbps,Social Media,"TV ma iptv channel sab sthapit (freeze) vayo, sound maatra aauchha video audaina. Waiting for reply.",Nepali-English,IPTV,Set-Top Box Freezing,Medium,Medium,Internet Support,Resolved,Eng. Subash Giri,Field team dispatched to site in Tanahu. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,18.08,False,False,Frustrated,3,FTTH,4G CPE Router,D-Link,12.55,"IPTV stream pixelation, freezing, or STB authentication failure."
NTC-202607-002849,2026-07-10,13:16:46,Karnali,Jumla,Residential,ADSL Standard,Counter Visit,ONT box is dead and power adapter smells hot. Device completely unresponsive.,English,ONT Offline,PON Light Out,High,High,Fiber Team,Resolved,Eng. Deepa Sharma,Replaced faulty power supply adapter unit for ONT device. Verified line online status.,6.11,False,False,Frustrated,5,FTTH,Wi-Fi Router,Netgear,1726.62,ONT optical terminal offline or unregistered.
NTC-202605-003372,2026-05-10,18:13:02,Bagmati,Bhaktapur,Government,Secured Intranet SLA,SMS Alert,office ko main leased line fiber link down bho. critical business impacted.,Nepali-English,Enterprise,Leased Line Down,Critical,High,Enterprise Support,Resolved,Eng. Subash Giri,Replaced faulty power supply adapter unit for ONT device. Verified line online status.,3.41,False,False,Frustrated,4,Enterprise Ethernet,4G CPE Router,N/A,4626.97,Dedicated enterprise leased link outage reported with high SLA priority.
NTC-202602-008830,2026-02-18,13:28:27,Koshi,Dhankuta,Government,GovNet Dedicated 50Mbps,Call Center (198),"Connection stable chaina, drop packets dherai dekhiyo router status ma. Kindly check.",Nepali-English,Packet Loss,Downstream Drops,Critical,Medium,Network Operations,Escalated,Eng. Ramesh Shrestha,Pending investigation by assigned field team.,0.0,True,False,Frustrated,,4G,MiFi Dongle,N/A,2564.39,Significant packet drop detected on connection link.
NTC-202607-010350,2026-07-25,19:50:12,Gandaki,Tanahu,Corporate,Dedicated Enterprise Fiber 1Gbps,Web Portal,Sites loading when using 8.8.8.8 but failing on automatic DNS.,English,DNS,Domain Name Unresolvable,Critical,Medium,Network Operations,Resolved,Eng. Sunita Tamang,Replaced faulty power supply adapter unit for ONT device. Verified line online status.,3.22,False,False,Angry,3,5G,Fiber Media Converter,N/A,1785.66,Primary/Secondary DNS server resolution failure for target domain names.
NTC-202602-008798,2026-02-18,23:37:53,Koshi,Ilam,Corporate,Dedicated Enterprise Fiber 1Gbps,Web Portal,Rukh ko daangale main fiber cable chhyapryakkai chodyo. Cable physically damaged bhayo.,Nepali-English,Fiber Cut,PCC Pole Damage,Critical,Critical,Fiber Team,In Progress,Eng. Prakash Maharjan,Pending investigation by assigned field team.,0.0,True,False,Angry,,Fiber,Smartphone,Nokia,3815.62,Physical fiber optic cable break identified; field repair dispatched.
NTC-202602-000765,2026-02-20,05:15:18,Madhesh,Bara,Business,Biz 4G Pro,Counter Visit,Nokia ONT box ma LOS red light baleko chha. Cable sab thik dekhincha tara net aayena.,Nepali-English,LOS Red,Patch Cord Damaged,High,High,Fiber Team,Resolved,Eng. Deepa Sharma,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,14.07,False,True,Angry,3,Fiber,Wi-Fi Router,D-Link,1999.45,Loss of Signal (LOS) detected on ONT device.
NTC-202607-001594,2026-07-04,08:19:08,Karnali,Rukum West,Corporate,Dedicated Internet 100Mbps,Counter Visit,"Respected Sir, Phone ma WiFi disconnect bhai raakhchha room change garda.",Nepali-English,Weak WiFi,Room Obstruction,Low,Low,Internet Support,Resolved,Eng. Subash Giri,Field team dispatched to site in Rukum West. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,52.72,False,False,Neutral,5,FTTH,Fiber Media Converter,Tenda,448.95,Wi-Fi signal propagation issues inside customer premises.
NTC-202603-014233,2026-03-27,22:54:58,Karnali,Surkhet,Government,GovNet Enterprise Fiber 100Mbps,Counter Visit,"Kotha ma matrai WiFi aauchha, arko room ma signal dherai weak hunchha.",Nepali-English,Weak WiFi,Frequency Interference,Low,Low,Internet Support,Pending,Eng. Unassigned,Pending investigation by assigned field team.,0.0,False,False,Neutral,,ADSL,Wi-Fi Router,TP-Link,103.98,Wi-Fi signal propagation issues inside customer premises.
NTC-202603-005873,2026-03-07,21:00:09,Lumbini,Banke,Corporate,SLA Premium Fiber,Web Portal,Complain: Request to shift fiber optic connection location to new apartment building nearby. Solved this fast.,English,Others,Shift Connection Request,Low,Low,Customer Care,Resolved,Eng. Sita Adhikari,Replaced faulty power supply adapter unit for ONT device. Verified line online status.,14.93,False,False,Neutral,4,4G,Wi-Fi Router,N/A,282.46,General inquiry or non-technical support ticket.
NTC-202606-009941,2026-06-09,22:33:06,Gandaki,Lamjung,Government,GovNet Enterprise Fiber 100Mbps,Web Portal,"SIM card active gardidinus, citizenship verification update bho bhaneko thiyo.",Nepali-English,SIM Activation,MNP Porting Delay,Critical,Medium,Mobile Team,In Progress,Eng. Prakash Maharjan,Pending investigation by assigned field team.,0.0,True,False,Frustrated,,5G,Fiber Media Converter,N/A,3270.07,SIM card provisioning or KYC activation issue.
NTC-202607-005170,2026-07-20,05:40:26,Koshi,Morang,Government,Secured Intranet SLA,Web Portal,"Heloo support team, Khalti bata pack buy gare, SMS aayo deduction ko tara data pack add bhayena. Solved this fast.",Nepali-English,Recharge Issue,Payment Deducted But Not Credited,Critical,Medium,Billing,Resolved,Eng. Ramesh Shrestha,Adjusted WiFi radio channel frequencies and updated router firmware to resolve stability issue.,4.37,False,False,Frustrated,4,ADSL,MiFi Dongle,TP-Link,3337.56,Recharge/Top-up transaction success in payment portal but uncredited in billing Engine.
NTC-202607-010910,2026-07-10,09:20:02,Koshi,Dhankuta,Business,BizFiber 300Mbps,Call Center (198),"Call garda aawaj katindai aauchha, complete noise aauchha voice ma.",Nepali-English,Voice Call,Outbound Network Busy,Medium,Medium,Mobile Team,Resolved,Eng. Sunita Tamang,Adjusted WiFi radio channel frequencies and updated router firmware to resolve stability issue.,22.72,False,False,Frustrated,3,4G,Smartphone,N/A,468.74,Voice call quality degradation or call establishment failure.
NTC-202607-004123,2026-07-12,22:45:17,Koshi,Sunsari,Government,Secured Intranet SLA,Counter Visit,Local road expansion team cut the fiber cable wire under the pole. Fiber cut issue. Kindly check.,English,Fiber Cut,PCC Pole Damage,Critical,Critical,Fiber Team,Resolved,Eng. Sunita Tamang,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,2.28,True,False,Angry,3,Enterprise Ethernet,Fiber Media Converter,N/A,3070.96,Physical fiber optic cable break identified; field repair dispatched.
NTC-202602-012949,2026-02-18,14:51:27,Bagmati,Bhaktapur,Residential,ADSL Standard,SMS Alert,"NTC Support, Aaja bihanai dekhi internet chaleyrai chhaina. Please resolve fast.",Nepali-English,Internet Down,Core Gateway Unreachable,High,High,Internet Support,Closed,Eng. Sita Adhikari,Field team dispatched to site in Bhaktapur. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,9.25,False,False,Angry,1,FTTH,Smartphone,D-Link,2172.08,Total internet connectivity blackout reported by customer.
NTC-202603-014483,2026-03-10,14:07:55,Lumbini,Palpa,Business,BizFiber 300Mbps,Call Center (198),Game khelda ping 400+ pugchha. High ping problem lagataar aairacha.,Nepali-English,High Ping,Gaming Latency Spike,Medium,Medium,Internet Support,Resolved,Eng. Sunita Tamang,Replaced faulty power supply adapter unit for ONT device. Verified line online status.,17.02,False,False,Neutral,4,4G,4G CPE Router,N/A,448.72,High latency/ping spikes affecting real-time network traffic.
NTC-202603-000150,2026-03-12,14:33:22,Koshi,Udayapur,Business,BizFiber 150Mbps,Call Center (198),"Complain: Internet dammi slow cha, 200Mbps ko package ho tara speed 5Mbps ni aaudaina. Solved this fast.",Nepali-English,Internet Slow,Peak Hour Degradation,Medium,Medium,Internet Support,In Progress,Eng. Anish Karki,Pending investigation by assigned field team.,0.0,False,True,Frustrated,,Fiber,4G CPE Router,Huawei,186.4,Customer experiencing lower than subscribed bandwidth speed.
NTC-202606-011737,2026-06-10,14:59:31,Bagmati,Chitwan,Corporate,SLA Premium Fiber,Mobile App,complain: package expire nabhai kan nai service status suspend bhayechha billing ma.,Nepali-English,Billing,Tax Invoice Request,Low,Low,Billing,Resolved,Eng. Sita Adhikari,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,46.31,False,False,Neutral,5,ADSL,Wi-Fi Router,D-Link,283.1,Billing discrepancy or customer account tariff dispute.
NTC-202605-000388,2026-05-22,20:45:48,Bagmati,Kathmandu,Residential,Fiber 100Mbps,Mobile App,My SIM got locked with PUK code prompt after entering wrong PIN thrice. Please fix ASAP.,English,SIM Blocked,IMEI Blacklisted,Medium,High,Mobile Team,Resolved,Eng. Bikash Thapa,Recharge transaction re-processed manually via payment clearing system; customer account credited.,19.38,False,False,Frustrated,1,4G,Fiber Media Converter,N/A,17.61,SIM line locked or blocked due to security/inactivity.
NTC-202605-003947,2026-05-30,05:52:46,Madhesh,Siraha,Corporate,Dedicated Internet 100Mbps,Social Media,"NTC Support, Router ma LOS light red bhayera blink bhai rakheko xa. Internet chalekai chaina.",Nepali-English,LOS Red,Blinking Red LOS Light,Critical,High,Fiber Team,Resolved,Eng. Sita Adhikari,Adjusted WiFi radio channel frequencies and updated router firmware to resolve stability issue.,4.37,True,False,Frustrated,4,Fiber,Wi-Fi Router,ZTE,7436.67,Loss of Signal (LOS) detected on ONT device.
NTC-202607-013403,2026-07-01,06:05:33,Sudurpashchim,Kanchanpur,Business,Corporate Dedicated 50Mbps,Social Media,new sim card purchased yesterday still showing 'no service' on mobile network.,English,SIM Activation,eSIM QR Code Failure,Medium,Medium,Mobile Team,In Progress,Eng. Subash Giri,Pending investigation by assigned field team.,0.0,False,False,Neutral,,5G,4G CPE Router,N/A,476.76,SIM card provisioning or KYC activation issue.
NTC-202607-001374,2026-07-02,09:20:17,Sudurpashchim,Kanchanpur,Business,BizFiber 300Mbps,Call Center (198),Naya connection line lina bill payment counter kata chha?,Nepali-English,Others,Name Transfer Inquiry,Low,Low,Customer Care,Resolved,Eng. Deepa Sharma,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,58.88,False,False,Neutral,5,4G,Smartphone,N/A,297.78,General inquiry or non-technical support ticket.
NTC-202605-002885,2026-05-26,04:52:03,Bagmati,Kavrepalanchok,Corporate,SLA Premium Fiber,Social Media,recharge gare pachi झन् internet slow chali rakhya cha. fix garidinus. solved this fast.,Nepali-English,Internet Slow,High Overhead Latency,Critical,Medium,Internet Support,Closed,Eng. Ramesh Shrestha,Adjusted WiFi radio channel frequencies and updated router firmware to resolve stability issue.,2.34,True,True,Angry,4,4G,Wi-Fi Router,N/A,3907.99,Customer experiencing lower than subscribed bandwidth speed.
NTC-202608-014043,2026-08-01,16:18:43,Lumbini,Palpa,Government,GovNet Dedicated 50Mbps,Mobile App,"NTC Support, Ping unstable cha, packet loss sangai high latency le गर्दा office meeting disconnect bhayo.",Nepali-English,High Ping,Gaming Latency Spike,Critical,Medium,Internet Support,Resolved,Eng. Ramesh Shrestha,Adjusted WiFi radio channel frequencies and updated router firmware to resolve stability issue.,1.14,True,False,Frustrated,5,4G,MiFi Dongle,N/A,6794.41,High latency/ping spikes affecting real-time network traffic.
NTC-202606-011361,2026-06-26,06:37:10,Lumbini,Kapilvastu,Corporate,Dedicated Internet 100Mbps,Counter Visit,SIM ma PUK code maagyo mistakely PIN wrong hanera. Unlock code chahiyo.,Nepali-English,SIM Blocked,PUK Code Locked,Critical,High,Mobile Team,Resolved,Eng. Sita Adhikari,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,1.86,True,True,Frustrated,4,5G,MiFi Dongle,N/A,7419.66,SIM line locked or blocked due to security/inactivity.
NTC-202602-002992,2026-02-19,04:10:33,Lumbini,Kapilvastu,Business,BizFiber 150Mbps,SMS Alert,Router log ma PPPoE authentication failed bhanchha. Kindly check.,Nepali-English,Authentication,MAC Binding Mismatch,High,High,Network Operations,Closed,Eng. Unassigned,Adjusted WiFi radio channel frequencies and updated router firmware to resolve stability issue.,8.59,False,False,Angry,1,FTTH,Fiber Media Converter,D-Link,1729.63,PPPoE or RADIUS AAA authentication rejection.
NTC-202607-011596,2026-07-11,10:03:09,Sudurpashchim,Doti,Business,BizFiber 150Mbps,Mobile App,WI-FI RANGE IS VERY WEAK OUTSIDE THE ROTER ROOM. CANNOT CONNECT FROM NEXT ROOM.,English,Weak WiFi,2.4GHz Coverage Weak,Low,Low,Internet Support,Resolved,Eng. Prakash Maharjan,Replaced faulty power supply adapter unit for ONT device. Verified line online status.,47.83,False,False,Neutral,4,FTTH,4G CPE Router,Huawei,493.07,Wi-Fi signal propagation issues inside customer premises.
